,N,Mean,SD,Min,Median,Max
log_rd,26349.0,8.659862671314801,4.916987435649957,0.0,10.615996086574691,15.72544957681925
rd_exp,25122.0,457018.89320117823,3967140.343134461,0.0,45652.5,204181823.0
size,26349.0,15.330923840056451,1.6051303082949668,12.29241546575219,15.08909860006708,20.660482622356525
cash_ratio,26349.0,0.1942934063535417,0.14413645665916971,0.0088484076550453,0.1621910408573919,0.7031633266579528
tangibility,26349.0,0.24535965940336593,0.17695235576470753,0.001146335021643,0.2221760767352092,0.7344084770535979
leverage,26349.0,0.42420793298303067,0.1930811326755303,0.0496839364482769,0.41983102446911,0.9304451286052308
tobin_q,24371.0,1.6144062687040424,1.6519853477213402,0.6350761617461762,1.2328908999008534,94.1275095634228
