firm_id,firm_name,date,rd_exp,capx,oancf,assets,ppe,cash,debt,industry,TEJ子產業代碼,mkt_cap,year,firm_findep,findep_s,log_rd,size,cash_ratio,tangibility,leverage,tobin_q,monetary_tightening,inter_tight_findep
1101,台泥,2026/06,545368.0,13931211.0,7903379,596016531,218548953,93299014,296694465,11A,11A,180932527.0,2026,0.4326854284239898,-0.8603816081928262,13.209217908760992,20.205778961222155,0.15653762798065746,0.36668270363796335,0.4977956978847622,0.8013653433381028,,
1102,亞泥,2026/06,0.0,2114818.0,3028658,337268044,41407219,16216993,128904760,11A,11A,124129705.0,2026,-0.4321128342959063,-0.8603816081928262,0.0,19.636388554956692,0.048083396243730696,0.12277243497163343,0.38220270877486395,0.7502473759417302,,
1103,嘉泥,2026/06,0.0,87628.0,-324485,33873036,3425202,1801271,15082436,11A,11A,11160525.0,2026,4.702983064773816,-0.8603816081928262,0.0,17.338129857623578,0.05317713475697897,0.10111883682348402,0.4452637785405477,0.7747448737692127,,
1104,環泥,2026/06,79374.0,210836.0,752168,31740961,7439635,1160917,6342409,11A,11A,18403078.0,2026,-2.567550133753249,-0.8603816081928262,11.281938736194993,17.273118549856868,0.036574727526365695,0.2343859406147155,0.19981780009748287,0.7796073660151626,,
1108,幸福,2026/06,0.0,48765.0,149111,10277215,3844495,336952,4809287,11A,11A,5585384.0,2026,-2.0577463344611915,-0.8603816081928262,0.0,16.14543986689047,0.03278631419115004,0.37407945635077205,0.4679562507936245,1.011428777154122,,
1109,信大,2026/06,0.0,173731.0,139410,11498534,2583577,2012012,1319710,11A,11A,4963863.0,2026,0.19755253811927637,-0.8603816081928262,0.0,16.257730106946564,0.17497987134707782,0.2246875123385294,0.11477202224213974,0.6053234953580162,,
1110,東泥,2026/06,3620.0,58883.0,402552,13366409,1164743,601405,3689682,11A,11A,8951816.0,2026,-5.836472326477931,-0.8603816081928262,8.19450550976564,16.408255326614906,0.04499376010415363,0.08713956007181885,0.27604138104707104,0.9457662114035266,,
1201,味全,2026/06,143744.0,558727.0,256095,19047444,9157879,1263989,11082256,12C,12C,6224575.0,2026,0.5416455621439451,0.693150356081714,11.875796175445972,16.762443477306604,0.06636003234869728,0.4807930659882764,0.5818237869606022,0.9086169776900249,,
1203,味王,2026/06,4023.0,50908.0,496918,10712429,2535418,2254872,3356196,12Z,12Z,10440000.0,2026,-8.761098452109689,-1.7185556498950278,8.300031711779575,16.186915214094913,0.21049119672111713,0.23668002840438895,0.31329925267182634,1.2878681389626947,,
1210,大成,2026/06,111007.0,2298167.0,2726228,78585270,32539602,8133442,43834881,12B,12B,49659569.0,2026,-0.18626192091349322,-0.7699072718135969,11.617357549769476,18.17969483525685,0.10349830190823293,0.41406744546401636,0.5578002213391899,1.1897197782739692,,
1213,大飲,2026/06,0.0,30796.0,4784,740449,172329,17707,118772,12C,12C,463742.0,2026,0.8446551500194831,0.693150356081714,0.0,13.515012037934655,0.023913868477099705,0.23273581299995003,0.1604053756572026,0.7867037432692866,,
1215,卜蜂,2026/06,0.0,1029711.0,1251944,32784769,18004006,251021,21421630,12B,12B,33458665.0,2026,-0.2158207497054999,-0.7699072718135969,0.0,17.305474605749893,0.010873449336980059,0.5491576286537203,0.6534018891516362,1.6739570438943767,,
1216,統一,2026/06,542270.0,16143867.0,30750026,762860615,206862285,111954151,551120224,12C,12C,423310118.0,2026,-0.9047497108344612,0.693150356081714,13.203521155463434,20.45258589235097,0.14675570975701768,0.2711665551117749,0.7224389530189601,1.2773373311453495,,
